

GRMZM5G895933	Zm00001d014442		syntelog	MaizeGDB
GRMZM5G895831	Zm00001d040886		syntelog	MaizeGDB
GRMZM5G895799	Zm00001d035444		syntelog	MaizeGDB
GRMZM5G895672	Zm00001d048600		syntelog	MaizeGDB
GRMZM5G895604	Zm00001d041311		syntelog	MaizeGDB
GRMZM5G895573	Zm00001d028086		syntelog	MaizeGDB
GRMZM5G895554	Zm00001d048150		syntelog	MaizeGDB
GRMZM5G895534	Zm00001d006502		syntelog	MaizeGDB
GRMZM5G895459	Zm00001d023878		syntelog	MaizeGDB
GRMZM5G895435	Zm00001d036679		syntelog	MaizeGDB
GRMZM5G895420	Zm00001d007338		syntelog	MaizeGDB
GRMZM5G895349	Zm00001d051519		syntelog	MaizeGDB
GRMZM5G895188	Zm00001d032725		syntelog	MaizeGDB
GRMZM5G895175	Zm00001d032319		syntelog	MaizeGDB
GRMZM5G895150	Zm00001d030502		syntelog	MaizeGDB
GRMZM5G895064	Zm00001d013683		syntelog	MaizeGDB
GRMZM5G894932	Zm00001d049325		syntelog	MaizeGDB
GRMZM5G894916	Zm00001d018490		syntelog	MaizeGDB
GRMZM5G894862	Zm00001d033728		syntelog	MaizeGDB
GRMZM5G894709	Zm00001d028627		syntelog	MaizeGDB
GRMZM5G894619	Zm00001d026060		syntelog	MaizeGDB
GRMZM5G894568	Zm00001d018203		syntelog	MaizeGDB
GRMZM5G894518	Zm00001d031587		syntelog	MaizeGDB
GRMZM5G894515	GRMZM5G894515		syntelog	MaizeGDB
GRMZM5G894506	Zm00001d036381		syntelog	MaizeGDB
GRMZM5G894436	Zm00001d041911		syntelog	MaizeGDB
GRMZM5G894432	Zm00001d032325		syntelog	MaizeGDB
GRMZM5G894376	GRMZM5G894376		syntelog	MaizeGDB
GRMZM5G894320	Zm00001d024280		syntelog	MaizeGDB
GRMZM5G894234	Zm00001d048059		syntelog	MaizeGDB
GRMZM5G894200	Zm00001d032375		syntelog	MaizeGDB
GRMZM5G894156	Zm00001d011688		syntelog	MaizeGDB
GRMZM5G894031	Zm00001d029390		syntelog	MaizeGDB
GRMZM5G894029	Zm00001d003728		syntelog	MaizeGDB
GRMZM5G894016	Zm00001d018455		syntelog	MaizeGDB
GRMZM5G893926	Zm00001d029128		syntelog	MaizeGDB
