"FrameID"	"Accession1"	"Accession2"
GDQC-7753	"Zm00001d001959_T001.1"	
GDQC-8022	"Zm00001d001960_T001.1"	
GDQC-10538	"Zm00001d001970_T001.1"	
GDQC-12281	"Zm00001d001971_T002.1"	
GDQC-7916	"Zm00001d001974_T001.1"	
GDQC-12532	"Zm00001d001979_T002.1"	
GDQC-9438	"Zm00001d001980_T001.1"	
GDQC-11954	"Zm00001d001999_T009.1"	
GDQC-14274	"Zm00001d002000_T003.1"	
GDQC-9643	"Zm00001d002003_T007.1"	
GDQC-10775	"Zm00001d002004_T003.1"	
GDQC-12212	"Zm00001d002006_T013.1"	
GDQC-8015	"Zm00001d002024_T002.1"	
GDQC-9390	"Zm00001d002034_T001.1"	
GDQC-13146	"Zm00001d002042_T001.1"	
GDQC-12510	"Zm00001d002046_T003.1"	
GDQC-14481	"Zm00001d002051_T001.1"	
GDQC-12087	"Zm00001d002052_T001.1"	
GDQC-12727	"Zm00001d002063_T001.1"	
GDQC-8412	"Zm00001d002064_T001.1"	
GDQC-13799	"Zm00001d002085_T001.1"	
GDQC-8961	"Zm00001d002100_T001.1"	
GDQC-11999	"Zm00001d002103_T002.1"	
GDQC-10079	"Zm00001d002104_T001.1"	
GDQC-13052	"Zm00001d002105_T001.1"	
GDQC-13027	"Zm00001d002119_T006.1"	
GDQC-10454	"Zm00001d002124_T001.1"	
GDQC-11128	"Zm00001d002128_T001.1"	
GDQC-10418	"Zm00001d002129_T001.1"	
GDQC-13906	"Zm00001d002135_T001.1"	
GDQC-8183	"Zm00001d002139_T001.1"	
GDQC-8702	"Zm00001d002147_T002.1"	
GDQC-14119	"Zm00001d002149_T004.1"	
GDQC-10485	"Zm00001d002163_T001.1"	
GDQC-9473	"Zm00001d002188_T001.1"	
GDQC-8414	"Zm00001d002189_T001.1"	
GDQC-9861	"Zm00001d002192_T003.1"	
GDQC-9602	"Zm00001d002193_T003.1"	
GDQC-9448	"Zm00001d002195_T003.1"	
GDQC-10891	"Zm00001d002204_T001.1"	
GDQC-10022	"Zm00001d002216_T001.1"	
GDQC-9256	"Zm00001d002224_T001.1"	
GDQC-14622	"Zm00001d002230_T001.1"	
GDQC-7777	"Zm00001d002239_T006.1"	
GDQC-14421	"Zm00001d002242_T001.1"	
GDQC-8169	"Zm00001d002246_T001.1"	
GDQC-14565	"Zm00001d002250_T001.1"	
GDQC-10476	"Zm00001d002256_T019.1"	
GDQC-14067	"Zm00001d002258_T001.1"	
GDQC-10561	"Zm00001d002260_T002.1"	
GDQC-8627	"Zm00001d002261_T003.1"	
GDQC-14708	"Zm00001d002266_T013.1"	
GDQC-12740	"Zm00001d002275_T001.1"	
GDQC-10348	"Zm00001d002280_T001.1"	
GDQC-10994	"Zm00001d002281_T001.1"	
GDQC-9877	"Zm00001d002292_T004.1"	
GDQC-12077	"Zm00001d002296_T001.1"	
GDQC-9941	"Zm00001d002319_T001.1"	
GDQC-9918	"Zm00001d002326_T003.1"	
GDQC-11472	"Zm00001d002332_T026.1"	
GDQC-14615	"Zm00001d002334_T001.1"	
GDQC-12407	"Zm00001d002338_T001.1"	
GDQC-11334	"Zm00001d002342_T001.1"	
GDQC-12674	"Zm00001d002346_T002.1"	
GDQC-9682	"Zm00001d002349_T015.1"	
GDQC-13472	"Zm00001d002350_T001.1"	
GDQC-13657	"Zm00001d002351_T001.1"	
GDQC-9664	"Zm00001d002353_T001.1"	
GDQC-112611	"Zm00001d002358_T001.1"	"GRMZM5G870342_T01"
GDQC-10026	"Zm00001d002365_T001.1"	
GDQC-14867	"Zm00001d002367_T001.1"	
GDQC-10388	"Zm00001d002370_T001.1"	
GDQC-11998	"Zm00001d002377_T001.1"	
GDQC-11055	"Zm00001d002380_T001.1"	
GDQC-12330	"Zm00001d002388_T003.1"	
GDQC-14901	"Zm00001d002396_T001.1"	
GDQC-12061	"Zm00001d002409_T002.1"	
GDQC-8436	"Zm00001d002410_T001.1"	
GDQC-7775	"Zm00001d002411_T001.1"	
GDQC-11424	"Zm00001d002412_T001.1"	
GDQC-13186	"Zm00001d002426_T003.1"	
GDQC-8921	"Zm00001d002434_T001.1"	
GDQC-8893	"Zm00001d002435_T001.1"	
GDQC-8383	"Zm00001d002436_T001.1"	
GDQC-10555	"Zm00001d002448_T001.1"	
GDQC-8653	"Zm00001d002454_T002.1"	
GDQC-9649	"Zm00001d002472_T001.1"	
GDQC-10852	"Zm00001d002479_T001.1"	
GDQC-7659	"Zm00001d002480_T001.1"	
GDQC-7694	"Zm00001d002497_T001.1"	
GDQC-12889	"Zm00001d002499_T003.1"	
GDQC-11196	"Zm00001d002503_T001.1"	
GDQC-10697	"Zm00001d002509_T001.1"	
GDQC-8282	"Zm00001d002511_T002.1"	
GDQC-14035	"Zm00001d002554_T001.1"	
GDQC-15057	"Zm00001d002555_T001.1"	
GDQC-9556	"Zm00001d002564_T001.1"	
GDQC-8579	"Zm00001d002566_T001.1"	
GDQC-12726	"Zm00001d002579_T001.1"	
GDQC-14552	"Zm00001d002582_T001.1"	
GDQC-9726	"Zm00001d002589_T001.1"	
GDQC-12498	"Zm00001d002592_T001.1"	
GDQC-15049	"Zm00001d002595_T002.1"	
GDQC-14744	"Zm00001d002600_T005.1"	
GDQC-7702	"Zm00001d002602_T002.1"	
GDQC-10872	"Zm00001d002608_T001.1"	
GDQC-11563	"Zm00001d002609_T001.1"	
GDQC-14762	"Zm00001d002610_T001.1"	
GDQC-8206	"Zm00001d002613_T002.1"	
GDQC-8235	"Zm00001d002626_T001.1"	
GDQC-13034	"Zm00001d002629_T001.1"	
GDQC-10158	"Zm00001d002647_T001.1"	
GDQC-10926	"Zm00001d002652_T001.1"	
GDQC-12914	"Zm00001d002655_T001.1"	
GDQC-12775	"Zm00001d002670_T001.1"	
GDQC-11520	"Zm00001d002675_T001.1"	
GDQC-15048	"Zm00001d002676_T001.1"	
